epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.07577,0.87697,10.8059,0.7259,3.16228,1.12525,0.73146,0.33333,0.40856,0.30747,0,0,0,0,0.77366,10.4444,0.68517,2.7479,1.24627,5e-05,5e-05,5e-05
2,3.28393,0.8621,10.6388,0.72856,2.85311,1.10176,0.40001,0.73333,0.73413,0.5522,0,0,0,0,0.69202,10.3379,0.68254,1.90775,1.12315,0.000110272,0.000110272,0.000110272
3,4.43717,0.84682,10.2101,0.71617,2.48534,1.07694,0.47791,0.9119,0.6965,0.5421,0,0,0,0,0.61757,10.3289,0.68144,1.59894,1.08777,0.00016807,0.00016807,0.00016807
4,5.59258,0.85689,9.99683,0.71425,2.03558,1.05891,0.4269,1,0.61961,0.54071,0,0,0,0,0.61944,10.1123,0.6773,2.53208,1.0828,0.000223392,0.000223392,0.000223392
5,6.68564,0.81717,10.007,0.70443,1.80338,1.01647,0.52749,0.97646,0.71357,0.53546,0,0,0,0,0.76738,10.0579,0.67559,3.16345,1.17754,0.00027624,0.00027624,0.00027624
6,7.79672,0.84041,9.83945,0.70276,1.59697,1.04894,0.51872,1,0.72315,0.54791,0,0,0,0,0.7887,10.0063,0.67587,4.07529,1.20595,0.000326613,0.000326613,0.000326613
7,8.92008,0.81956,9.55545,0.69691,1.71372,1.03525,0.53666,0.99456,0.72409,0.59767,0,0,0,0,0.71159,9.72933,0.67801,4.99281,1.18815,0.00037451,0.00037451,0.00037451
8,10.0369,0.77421,9.12096,0.69542,1.64611,1.05809,0.54591,0.98647,0.8102,0.661,0,0,0,0,0.71197,9.45964,0.68027,3.92593,1.19557,0.000419932,0.000419932,0.000419932
9,11.1218,0.79461,9.14266,0.69126,1.67729,1.03106,0.53928,1,0.78208,0.683,0,0,0,0,0.66435,9.15687,0.68344,2.74333,1.1553,0.00046288,0.00046288,0.00046288
10,12.3309,0.77209,8.74045,0.69138,1.52293,1.06477,0.42923,1,0.82917,0.69566,0,0,0,0,0.65226,8.73705,0.69168,3.40327,1.21336,0.000503353,0.000503353,0.000503353
11,13.4237,0.77902,8.81016,0.6952,1.51295,1.03162,0.46808,1,0.85122,0.71076,0,0,0,0,0.6252,8.63173,0.70012,2.5112,1.18316,0.00054135,0.00054135,0.00054135
12,14.5606,0.77707,8.882,0.69937,1.5175,1.06345,0.5218,1,0.84329,0.70272,0,0,0,0,0.72346,8.44839,0.71961,2.09649,1.17046,0.000576873,0.000576873,0.000576873
13,15.664,0.85457,8.58613,0.69166,1.53379,1.11721,0.54487,1,0.84329,0.61523,0,0,0,0,0.95331,8.41553,0.72945,2.13462,1.29515,0.00060992,0.00060992,0.00060992
14,16.7456,0.90893,8.56974,0.68919,1.59001,1.11482,0.54487,1,0.84329,0.61523,0,0,0,0,0.95331,8.41553,0.72945,2.13462,1.29515,0.000640492,0.000640492,0.000640492
15,17.9027,0.7644,8.47481,0.67396,1.39373,1.00677,0.55306,0.96226,0.86233,0.62298,0,0,0,0,0.86095,8.31862,0.72288,1.64585,1.24721,0.00066859,0.00066859,0.00066859
16,19.1581,0.80682,8.74594,0.67998,1.39725,1.04357,0.62313,1,0.86233,0.69566,0,0,0,0,0.73501,8.27512,0.72069,1.72391,1.13385,0.000694212,0.000694212,0.000694212
17,20.3119,0.81396,8.60438,0.68094,1.43641,1.05436,0.65211,0.97486,0.85122,0.73845,0,0,0,0,0.67642,8.24339,0.72142,1.66531,1.11908,0.00071736,0.00071736,0.00071736
18,21.431,0.81693,8.09295,0.67338,1.43672,1.06689,0.65211,0.97486,0.85122,0.73845,0,0,0,0,0.67642,8.24339,0.72142,1.66531,1.11908,0.000738032,0.000738032,0.000738032
19,22.5657,0.81942,8.67201,0.67071,1.37229,1.01462,0.66283,0.98843,0.85144,0.73158,0,0,0,0,0.6915,8.14269,0.71962,1.28364,1.10016,0.00075623,0.00075623,0.00075623
20,23.6512,0.82184,8.47495,0.67276,1.41832,0.99665,0.67717,0.9089,0.77041,0.6041,0,0,0,0,0.73122,8.20612,0.71273,1.50859,1.13296,0.000771953,0.000771953,0.000771953
21,24.7309,0.84237,8.45315,0.66624,1.27596,0.98428,0.67717,0.9089,0.77041,0.6041,0,0,0,0,0.73122,8.20612,0.71273,1.50859,1.13296,0.000755,0.000755,0.000755
22,25.825,0.78877,8.18877,0.66068,1.29923,1.03178,0.57224,0.88085,0.8324,0.60383,0,0,0,0,0.73528,8.19566,0.70649,1.59218,1.11623,0.00073025,0.00073025,0.00073025
23,26.9524,0.82099,8.28598,0.67427,1.30611,1.03632,0.51571,0.83333,0.74867,0.56963,0,0,0,0,0.77237,8.26682,0.68168,2.08901,1.11731,0.0007055,0.0007055,0.0007055
24,28.033,0.81485,8.21993,0.66229,1.21832,0.99682,0.51571,0.83333,0.74867,0.56963,0,0,0,0,0.77237,8.26682,0.68168,2.08901,1.11731,0.00068075,0.00068075,0.00068075
25,29.139,0.77388,8.28171,0.67551,1.34477,1.02242,0.55969,0.66667,0.67083,0.48729,0,0,0,0,0.90671,8.21923,0.64989,2.30397,1.17509,0.000656,0.000656,0.000656
26,30.2378,0.7864,8.17546,0.66269,1.29571,1.03747,0.55969,0.66667,0.67083,0.48729,0,0,0,0,0.90671,8.21923,0.64989,2.30397,1.17509,0.00063125,0.00063125,0.00063125
27,31.315,0.75459,7.6381,0.64801,1.20514,0.98443,0.55931,0.66667,0.87833,0.58699,0,0,0,0,0.99246,8.15384,0.64143,1.97458,1.22294,0.0006065,0.0006065,0.0006065
28,32.5079,0.81271,7.58643,0.64832,1.28053,1.00778,0.52464,1,0.88933,0.61563,0,0,0,0,0.97396,7.94356,0.63958,1.80302,1.19945,0.00058175,0.00058175,0.00058175
29,33.6347,0.74854,7.73086,0.64588,1.25606,0.99308,0.52464,1,0.88933,0.61563,0,0,0,0,0.97396,7.94356,0.63958,1.80302,1.19945,0.000557,0.000557,0.000557
30,34.7167,0.73023,8.1671,0.66663,1.19619,1.02498,0.66057,0.97398,0.89529,0.64716,0,0,0,0,0.88091,7.72916,0.62481,1.71171,1.14753,0.00053225,0.00053225,0.00053225
31,35.7996,0.78646,7.74119,0.66699,1.20336,0.98896,0.78722,0.98392,0.915,0.67023,0,0,0,0,0.81242,7.49707,0.62008,1.50202,1.12563,0.0005075,0.0005075,0.0005075
32,36.8438,0.85136,7.77876,0.66185,1.24088,1.08894,0.78722,0.98392,0.915,0.67023,0,0,0,0,0.81242,7.49707,0.62008,1.50202,1.12563,0.00048275,0.00048275,0.00048275
33,38.0459,0.7404,7.98393,0.65846,1.09747,0.99363,0.90372,0.9833,0.94,0.69832,0,0,0,0,0.81833,7.27502,0.61845,1.2418,1.13497,0.000458,0.000458,0.000458
34,39.126,0.78091,8.14127,0.65125,1.17581,1.04809,0.90372,0.9833,0.94,0.69832,0,0,0,0,0.81833,7.27502,0.61845,1.2418,1.13497,0.00043325,0.00043325,0.00043325
35,40.3128,0.66973,7.61061,0.64792,1.03888,0.98847,0.87828,0.98088,0.94,0.68939,0,0,0,0,0.87491,7.21389,0.61753,1.13676,1.1599,0.0004085,0.0004085,0.0004085
36,41.4293,0.74877,7.70564,0.63771,1.1537,1.00176,0.77482,0.94221,0.87711,0.62272,0,0,0,0,0.8801,7.15138,0.61741,1.19597,1.15816,0.00038375,0.00038375,0.00038375
37,42.5228,0.72822,7.62906,0.63968,1.10702,1.00246,0.77482,0.94221,0.87711,0.62272,0,0,0,0,0.8801,7.15138,0.61741,1.19597,1.15816,0.000359,0.000359,0.000359
38,43.6216,0.73958,7.43841,0.64936,1.1027,0.99001,0.7015,0.94896,0.86233,0.61238,0,0,0,0,0.86475,7.11727,0.62095,1.4101,1.14522,0.00033425,0.00033425,0.00033425
39,44.7717,0.73587,7.40552,0.64477,1.15131,1.02047,0.69948,0.91189,0.86233,0.65,0,0,0,0,0.79532,7.09119,0.61812,1.46261,1.11763,0.0003095,0.0003095,0.0003095
40,45.8174,0.65356,7.47016,0.6444,1.05212,0.99815,0.69948,0.91189,0.86233,0.65,0,0,0,0,0.79532,7.09119,0.61812,1.46261,1.11763,0.00028475,0.00028475,0.00028475
41,73.5778,0.59552,7.10252,0.57878,1.1451,0.97052,0.66446,0.92681,0.85122,0.67546,0,0,0,0,0.76201,7.07466,0.61369,1.30825,1.09522,0.00026,0.00026,0.00026
42,74.6887,0.62031,6.87074,0.56982,1.05398,0.90609,0.66446,0.92681,0.85122,0.67546,0,0,0,0,0.76201,7.07466,0.61369,1.30825,1.09522,0.00023525,0.00023525,0.00023525
43,75.8382,0.61238,7.11721,0.57053,1.09762,0.98259,0.70146,0.88117,0.92889,0.75235,0,0,0,0,0.75171,7.14016,0.61127,1.20811,1.08854,0.0002105,0.0002105,0.0002105
44,76.9421,0.54434,6.98055,0.56857,0.98155,0.93371,0.72116,0.8611,0.92889,0.72082,0,0,0,0,0.7625,7.10961,0.60656,1.22286,1.08983,0.00018575,0.00018575,0.00018575
45,78.0149,0.55914,6.93126,0.56764,1.03246,0.92688,0.72116,0.8611,0.92889,0.72082,0,0,0,0,0.7625,7.10961,0.60656,1.22286,1.08983,0.000161,0.000161,0.000161
46,79.1133,0.52175,6.91495,0.56585,1.0626,0.93667,0.67743,0.91486,0.94,0.7283,0,0,0,0,0.77358,7.02632,0.60456,1.31259,1.10164,0.00013625,0.00013625,0.00013625
47,80.2299,0.54807,6.82258,0.5681,1.10144,0.95861,0.63614,0.83333,0.77711,0.60815,0,0,0,0,0.77113,7.01014,0.6036,1.44878,1.10805,0.0001115,0.0001115,0.0001115
48,81.3446,0.60167,6.88049,0.56966,0.99722,0.94197,0.63614,0.83333,0.77711,0.60815,0,0,0,0,0.77113,7.01014,0.6036,1.44878,1.10805,8.675e-05,8.675e-05,8.675e-05
49,82.4437,0.56294,7.08691,0.55787,1.01676,0.94484,0.5796,0.83333,0.73733,0.57488,0,0,0,0,0.76798,7.01441,0.60528,1.5364,1.11185,6.2e-05,6.2e-05,6.2e-05
50,83.5546,0.59881,6.85831,0.56194,1.01772,0.9569,0.5796,0.83333,0.73733,0.57488,0,0,0,0,0.76798,7.01441,0.60528,1.5364,1.11185,3.725e-05,3.725e-05,3.725e-05
